"Santa Clara County, California",Santa Clara County, California,"1,936,259","622,617","44,966","22,142","759,030","6,904","271,132"
"Santa Cruz County, California",Santa Cruz County, California,"270,861","160,565","3,150","3,607","12,553",384,"51,894"
"Shasta County, California",Shasta County, California,"182,155","142,899","1,912","4,911","5,978",371,"6,523"
"Sierra County, California",Sierra County, California,"3,236","2,703",7,24,7,1,106
"Siskiyou County, California",Siskiyou County, California,"44,076","33,597",496,"2,019",888,38,"1,988"
"Solano County, California",Solano County, California,"453,491","175,768","62,157","5,388","72,766","4,162","66,793"
"Sonoma County, California",Sonoma County, California,"488,863","306,684","7,615","8,855","22,845","1,840","75,003"
"Stanislaus County, California",Stanislaus County, California,"552,878","256,602","15,913","10,543","34,778","4,269","146,129"
"Sutter County, California",Sutter County, California,"99,633","46,810","1,982","1,902","18,234",319,"17,896"
"Tehama County, California",Tehama County, California,"65,829","44,926",420,"1,881","1,027",132,"9,599"
"Trinity County, California",Trinity County, California,"16,112","11,627",71,437,"2,222",32,367
"Tulare County, California",Tulare County, California,"473,117","186,255","6,668","10,645","17,194",723,"165,230"
"Tuolumne County, California",Tuolumne County, California,"55,620","44,207","1,009",984,816,123,"2,808"
"Ventura County, California",Ventura County, California,"843,843","428,677","15,330","14,573","64,923","1,723","173,436"
"Yolo County, California",Yolo County, California,"216,403","107,304","6,164","3,366","30,392","1,179","33,887"
"Yuba County, California",Yuba County, California,"81,575","46,590","3,052","1,754","5,774",405,"12,227"
"Adams County, Colorado",Adams County, Colorado,"519,572","289,718","17,463","9,520","23,268",925,"87,386"
"Alamosa County, Colorado",Alamosa County, Colorado,"16,376","10,069",251,709,180,19,"2,242"
"Arapahoe County, Colorado",Arapahoe County, Colorado,"655,070","396,027","70,787","6,820","42,472","1,777","54,355"
"Archuleta County, Colorado",Archuleta County, Colorado,"13,359","10,749",41,240,105,6,620
"Baca County, Colorado",Baca County, Colorado,"3,506","3,043",26,42,13,0,150
"Bent County, Colorado",Bent County, Colorado,"5,650","3,831",256,162,52,0,862
"Boulder County, Colorado",Boulder County, Colorado,"330,758","255,983","3,393","2,509","16,450",274,"19,148"
"Broomfield County, Colorado",Broomfield County, Colorado,"74,112","56,334",989,435,"5,146",89,"3,017"
"Chaffee County, Colorado",Chaffee County, Colorado,"19,476","16,693",296,185,137,13,782
"Cheyenne County, Colorado",Cheyenne County, Colorado,"1,748","1,534",1,13,4,0,84
"Clear Creek County, Colorado",Clear Creek County, Colorado,"9,397","8,323",52,73,83,9,162
"Conejos County, Colorado",Conejos County, Colorado,"7,461","5,045",27,167,21,2,"1,056"
"Costilla County, Colorado",Costilla County, Colorado,"3,499","1,827",40,66,56,0,518
"Crowley County, Colorado",Crowley County, Colorado,"5,922","3,747",517,180,74,2,"1,022"
"Custer County, Colorado",Custer County, Colorado,"4,704","4,279",11,53,23,0,80
"Delta County, Colorado",Delta County, Colorado,"31,196","26,117",145,294,243,9,"1,761"
"Denver County, Colorado",Denver County, Colorado,"715,522","433,946","64,038","10,601","27,875","1,531","80,773"
"Dolores County, Colorado",Dolores County, Colorado,"2,326","2,021",18,42,6,4,34
"Douglas County, Colorado",Douglas County, Colorado,"357,978","289,005","5,160","1,820","20,064",345,"7,685"
"Eagle County, Colorado",Eagle County, Colorado,"55,731","39,594",340,497,727,47,"6,608"
"Elbert County, Colorado",Elbert County, Colorado,"26,062","22,817",123,182,187,22,569
"El Paso County, Colorado",El Paso County, Colorado,"730,395","516,911","43,822","7,519","22,471","3,091","43,074"
"Fremont County, Colorado",Fremont County, Colorado,"48,939","39,965","1,848",850,338,30,"2,515"
"Garfield County, Colorado",Garfield County, Colorado,"61,685","42,038",335,870,411,40,"9,751"
"Gilpin County, Colorado",Gilpin County, Colorado,"5,808","5,077",38,59,94,4,76
"Grand County, Colorado",Grand County, Colorado,"15,717","13,772",64,80,90,17,734
"Gunnison County, Colorado",Gunnison County, Colorado,"16,918","14,652",88,203,122,7,672
"Hinsdale County, Colorado",Hinsdale County, Colorado,788,706,8,6,3,1,6
"Huerfano County, Colorado",Huerfano County, Colorado,"6,820","4,997",65,175,31,0,532
"Jackson County, Colorado",Jackson County, Colorado,"1,379","1,199",0,14,2,2,50
"Jefferson County, Colorado",Jefferson County, Colorado,"582,910","460,764","7,356","6,039","18,157",536,"27,086"
"Kiowa County, Colorado",Kiowa County, Colorado,"1,446","1,290",4,0,9,1,20
